S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
365,PB-800261-001,"30.807409, 76.501750",Punjab,5.5,0,24,74,22,84,244.4,86.4,3.6,2.4,1.8,35.1,19.2,19.98,5.8,44,12,1800,542,1.8,0,0,0,0,10,10,20,30.807409,76.50175
366,PB-800257-001,"31.2263499, 76.5076617",Punjab,8,8,21,15,20,120,56.4,86.4,0.9,1.4,2.4,9.5,14.04,19.3,4.2,25,36,920,345,2,0,0,0,0,0,10,10,31.2263499,76.5076617
367,PB-800220-002,"30.57154, 74.7895",Punjab,6,4,6,40,28,30,131.6,86.4,0.05,1.7,2.8,1,14.3,17.07,5,34,6,35000,212,1.8,0,0,0,0,10,10,20,30.57154,74.7895
368,PB-800220-001,"30.5958396, 74.8421232",Punjab,8,6,6,15.5,28,30,56.4,86.4,0.05,1.5,2.3,0.1,17.6,13.9,5,23,12,1.8,109,2,0,0,0,0,10,10,20,30.5958396,74.8421232
369,PB-800207-001,"30.9646523, 74.6039909",Punjab,18,0,4,6,2.5,17,18.8,10,0.05,0.7,0.54,0.1,14.5,1,5,10,5,1.8,542,80,10,10,10,10,10,10,60,30.9646523,74.6039909
370,OD-801859-006,"20.3357335, 85.8472281",Odisha,48,48,39,21,7.6,85,47,21.6,0.48,2.3,0.5,18.1,14,7.2,20,32,3,170,33,18,10,10,10,10,10,10,60,20.3357335,85.8472281
371,OD-801859-009,"20.2679187, 85.7536866",Odisha,8,5,8,52,5.4,20,112,15.9,0.47,3.5,2.35,9.2,22,5.9,27,28,6.8,170,17,11,10,10,0,10,10,10,50,20.2679187,85.7536866
372,UP-800734-009,"28.6487846, 77.377589",Uttar Pradesh,56,56,4,2.2,3.5,18,14,10,0.05,0.05,0.2,0.1,1.4,1.6,5,5,5,1.8,1.8,10,10,10,10,10,10,10,60,28.6487846,77.377589
373,UP-800816-001,"27.1185628, 78.3829783",Uttar Pradesh,67,35,10,24,10,50,120,45,0.05,0.05,0.89,1,2.1,2.1,5,42,6.8,1600,3500,25,10,10,10,10,10,10,60,27.1185628,78.3829783
374,UP-800695-002,"28.7909389, 79.0533092",Uttar Pradesh,15,15,10,2.1,3.4,46,16,10,0.05,0.05,0.2,0.1,1.3,1.3,6.4,5,1,1.8,240,20,10,10,10,10,10,10,60,28.7909389,79.0533092
375,HP-800137-005,"31.1003326, 77.2094836",Himachal Pradesh,2.26,1.2,8,2.4,1,40,18,4,0.05,0.05,0.05,1,1.6,1,5,5,5,540,1.8,4,10,10,10,10,10,10,60,31.1003326,77.2094836
376,JK-800013-003,"34.0574627, 74.7895802",Jammu And Kashmir,6,0,3,20,3.6,10,12,10,0.05,0.05,0.2,1,1.2,1.8,5,5,2,130,110,15,10,10,10,10,10,10,60,34.0574627,74.7895802
377,TS-802907-003,"18.7775975, 79.4417786",Telangana,4,2,40,12,5,96,48,20,0.34,0.4,0.9,43,32,5.8,20,18,9.7,130,94,2,10,10,10,10,10,10,60,18.7775975,79.4417786
378,UP-800682-001,"28.8204851, 78.7913596",Uttar Pradesh,58,32,3,2.8,12,10,18,30,0.05,0.05,0.22,0.1,1.2,1.6,5,5,28,1.8,350,30,0,10,10,10,0,10,40,28.8204851,78.7913596
379,OD-801859-10,"20.2690232, 85.8661475",Odisha,56,14,49,34,8.4,104,74,23.3,1.1,1.5,2.5,17,14,10.3,33,32,12,350,19519,9,10,10,0,10,10,10,50,20.2690232,85.8661475
380,OD-801859-004,"20.227183, 85.804722",Odisha,43.5,20.453,16,12,5.8,38,28,18.2,0.59,1.5,4.06,14.9,6.8,5.57,11,29,6,130,110,11,10,10,0,10,10,10,50,20.227183,85.804722
381,CG-802034-004,"21.332178, 81.578066",Chhattisgarh,35,35,24.6,82,23,110,176,60,0.24,33,1.2,12.52,82,12.6,4.2,45,16,1.8,49,30,0,0,0,0,10,10,20,21.332178,81.578066
382,CG-802034-002,"21.2043,81.6089",Chhattisgarh,6,6,22.6,38,25,108,83,70,0.26,1.3,1.4,14.14,17,11.6,5.8,26,30,1.8,8875,40,0,0,0,0,0,10,10,21.2043,81.6089
383,KA-803162-003,"12.9380198, 77.6581813",Karnataka,150,150,12,5.2,16.5,64,26,85.26,1.2,0.45,5.49,10.2,6.8,9.5,18,2,12,50,14,2,0,0,0,10,10,10,30,12.9380198,77.6581813
384,KA-803162-033,"12.9436674, 77.5839925",Karnataka,1.5,1.5,2,2.4,2,5,10,12.01,1,0.1,0.5,25.09,3.2,1,5,1,5,1,2,2,10,10,10,10,10,10,60,12.9436674,77.5839925
385,KA-803162-032,"12.9707764, 77.5908056",Karnataka,4,4,8,2.4,2,24.24,14,8.38,1,1.8,0.93,44.6,3.9,11.7,5,1,5,230,2,11,10,10,10,0,10,10,50,12.9707764,77.5908056
386,KA-803127-005,"14.4957, 75.9195",Karnataka,20,20,12,2,9.2,37.44,12.4,46.07,15.2,0.91,1,56.59,68,15.6,5,1,12,35,170,5,10,10,10,0,10,10,50,14.4957,75.9195
387,KA-803127-004,"14.4964, 75.9205",Karnataka,20,20,8,7.5,7.4,24.96,20.7,29.32,6.99,1,1.52,45.27,64,15.4,5,1.9,14,40,220,4,10,10,0,0,10,10,40,14.4964,75.9205
388,TS-900067-001,"16.6933655, 78.9169783",Telangana,1.5,0.75,45,18,5,104,92,20,1.13,0.8,2.9,52,47,16.4,18,15,1,170,210,2,10,10,0,0,10,10,40,16.6933655,78.9169783
