S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
445,BR-801353-001,"25.24324324, 86.75289799",Bihar,10,4.5,20,23,13,48,54,96,1.55,1.8,0.78,5.9,14,10.08,15,24,15,110,17,10,0,0,10,10,10,10,40,25.24324324,86.75289799
446,OD-801863-001,"19.8117983, 85.802057",Odisha,28,15,44,19,10.8,94,45,28,1,4.2,3.66,20.8,12,14.5,31,22,11.6,280,26,26,10,10,0,0,10,10,40,19.8117983,85.802057
447,MH-802787-006,"19.2307111, 72.9861007",Maharashtra,23.06,11,12.02,50,5.5,42.8,170,19.61,3.9,1.2,1.33,28.9,24.4,5.75,7.12,4,110.5,167,348,300,10,10,0,10,0,0,30,19.2307111,72.9861007
448,MH-802786-006,"19.290251, 72.860110",Maharashtra,12,12,21.6,48,18,94.5,160,98.04,4.6,1.2,3.43,10.3,21.2,37.93,8.1,9,93,49,426,2,0,0,0,0,0,10,10,19.290251,72.86011
449,MH-802786-003,"19.296412, 72.876955",Maharashtra,7,7,4.1,54,14.5,12.7,180,49.02,3.3,0.7,2.97,6.7,15.4,13.79,4.9,36,202.5,57,542,1600,0,10,0,0,0,0,10,19.296412,72.876955
450,MH-802791-003,"19.232347, 73.147236",Maharashtra,15,15,5.2,18,9,11.9,60,29.41,1,0.3,1.63,6.8,11.8,8.05,14.25,12,88,1600,426,14,10,10,0,10,0,10,40,19.232347,73.147236
451,MH-802791-002,"19.233271, 73.1484222",Maharashtra,31.26,31.26,19,24,11.5,27.77,80,39.22,1.18,0.15,0.5,7.8,11.2,11.49,12.4,8,89,1600,175,1600,0,10,10,0,0,0,20,19.233271,73.1484222
452,MH-802791-001,"19.2177728, 73.1687034",Maharashtra,20.72,20.72,20,26,5,46.36,80,45.45,1.9,0.4,0.5,7.34,12.4,36.78,15.66,22,195,1600,426,2,10,10,10,0,0,10,40,19.2177728,73.1687034
453,MH-802786-005,"19.2888143, 72.8797235",Maharashtra,14,14,18,12,19,41.8,40,107.84,6.45,0.3,3.3,6.1,9.8,32.18,4,6,212,1600,348,900,0,0,0,0,0,0,0,19.2888143,72.8797235
454,PB-800280-001,"29.8404218, 76.1169149",Punjab,3,2.5,8,42,2,40,140.8,7.8,0.05,1.2,0.19,1,15.8,1,7.4,7,5,1.8,542,16,10,10,10,10,10,10,60,29.8404218,76.1169149
455,PB-800279-001,"29.8237033, 75.887486",Punjab,3,2,18,21,2,190,70.4,8,0.05,0.4,0.16,1,10.6,1,5.6,1,5,1.8,26,18,10,10,10,10,10,10,60,29.8237033,75.887486
456,PB-800199-001,"30.7915513, 75.4668096",Punjab,16,7.5,12,12.5,14,70,40,43.2,0.05,0.1,1.6,1,6.2,23.14,5,2,4,1.8,21,1.8,0,10,0,0,10,10,30,30.7915513,75.4668096
457,PB-800259-001,"30.9746396, 76.5107115",Punjab,10,8,6,58,10,15.3,193.6,43.2,3.4,1.2,2.1,4.9,19.6,20.15,15.8,8,12,1700,542,4,10,10,0,0,10,10,40,30.9746396,76.5107115
458,PB-800163-006,"31.0179767, 75.771905",Punjab,3,2,22,24,40,61,80,183.6,5.7,0.5,3.2,18.8,18.4,17.25,70.6,18,34,2000,542,170,0,0,0,0,0,10,10,31.0179767,75.771905
459,PB-800162-002,"31.12347984, 75.75997587",Punjab,4,2,31,32,16,92,105.6,43.2,4.4,0.5,0.8,32.3,14.2,1.28,15.4,1,8,2000,27,1.8,0,10,10,10,10,10,50,31.12347984,75.75997587
460,PB-800158-002,"31.228395, 75.7450117",Punjab,8,6,27,36,25,69,123.2,80,2.4,0.8,1.4,29.4,16.4,14.8,59.2,4,12,1700,109,45,0,0,0,0,10,10,20,31.228395,75.7450117
461,MH-802786-002,"19.2771299, 72.8657575",Maharashtra,13,13,29,6.5,13.5,65.8,20,49.02,6.75,0.6,2.92,7.8,17.2,12.64,92,18,185,1600,278,170,0,10,0,0,0,10,20,19.2771299,72.8657575
462,MH-802787-004,"19.1834707, 72.9918393",Maharashtra,8.45,4,12.02,42,8.5,38.9,140,29.41,4.3,1.2,0.5,11.2,13.7,9.2,5.2,12,49,159,542,2,10,10,10,10,0,10,50,19.1834707,72.9918393
463,MH-802787-009,"19.2853056, 72.9461019",Maharashtra,7,4.5,19.02,45,8,97.5,150,27.27,3.2,1.4,0.73,12.6,22.4,13.79,7.5,4,172,310,27,1600,10,10,10,0,0,0,30,19.2853056,72.9461019
464,PB-800259-002,"30.9745, 76.511",Punjab,2.5,1,13,36,14,30.6,123.2,43.2,6.3,0.9,2.2,19.7,17.2,1.43,27.2,4,18,2000,542,12,0,10,0,10,10,10,40,30.9745,76.511
465,PB-800259-003,"30.9837489, 76.5329909",Punjab,2,0.5,5,52,26,7.6,176,86.4,3.1,1.5,1.4,6.2,24.2,7.24,21.6,6,46,1500,120,4,0,0,0,10,0,10,20,30.9837489,76.5329909
466,MH-802796-001,"18.9899, 73.1002",Maharashtra,14,12.5,8,3.2,5.4,26.1,15,16,1,0.79,5.86,2.4,4.8,6,3,2,10,5420,79,1.8,10,10,0,10,10,10,50,18.9899,73.1002
467,MH-802786-001,"19.2966188, 72.8770629",Maharashtra,17,17,7.9,13.4,21.5,17.5,80,127.45,4.31,2.71,4.4,5.8,30.4,31.04,5.2,11,251.5,26,220,1600,0,0,0,0,0,0,0,19.2966188,72.8770629
468,AP-802969-001,"16.5363638, 80.6462316",Andhra Pradesh,40,40,102,22,10,244,90,40,3.36,8.3,8.1,98,42.6,6.8,65,3.2,9.1,350,27,2,10,10,0,10,10,10,50,16.5363638,80.6462316
469,AP-802988-001,"15.4933701, 80.0905328",Andhra Pradesh,15,15,168,190,10,384,680,40,4.7,10.03,2.07,50,136.2,12,20,14.6,4,540,540,2,10,10,0,0,10,10,40,15.4933701,80.0905328
470,PB-800190-001,"30.8477861111111, 76.1763777777777",Punjab,4,4,35,32,26,107,100,86.4,4.7,0.82,2.8,36.6,16.4,17.64,68.6,6,14,1700,148,4,0,0,0,0,10,10,20,30.84778611,76.17637778
471,PB-800195-002,"30.8742821, 75.9871422",Punjab,7,7,26,48,26,77,160,86.4,3.7,0.4,0.6,28.1,19.8,23.74,66.4,34,14,1900,172,24,0,0,10,0,10,10,30,30.8742821,75.9871422
472,PB-800187-001,"30.6220499, 76.3006927",Punjab,25,0,8,144,45,40,480,180,0.05,1.4,3.4,1,29.2,18.9,5,38,32,1700,542,130,0,0,0,0,0,10,10,30.6220499,76.3006927
473,PB-800183-002,"31.0547121, 76.2926763",Punjab,4,4,16,30,32,110,100,108,1.2,0.9,1.4,13.2,16.3,16.77,9.8,7,18,920,177,12,0,0,0,0,10,10,20,31.0547121,76.2926763
474,PB-800180-001,"31.190731, 75.988792",Punjab,3,2.75,13,12,42,31,40,183.6,6.6,0.3,2.6,20.7,12.8,20.37,19.3,14,16,1700,109,79,0,0,0,0,10,10,20,31.190731,75.988792
475,PB-800265-002,"30.5620767, 76.694983",Punjab,4,3,17,42,1.8,46,140,6.2,5.5,1.2,0.16,23.3,18.4,1,30.1,22,5,2000,175,8,10,10,10,10,10,10,60,30.5620767,76.694983
476,PB-800272-001,"30.2722763, 76.0313606",Punjab,4,2.5,3,36,2.9,15,120,12,0.05,0.7,0.88,0.1,17.8,1,5,6,5,1.8,26,7,10,10,10,10,10,10,60,30.2722763,76.0313606
477,PB-800158-001,"31.2459624, 75.7607095",Punjab,20,18,33,36,26,92,120,80,3.5,0.8,1.6,34.8,17.05,12.4,9.4,6,26,2000,542,60,0,0,0,0,0,10,10,31.2459624,75.7607095
478,PB-800158-003,"31.2460157, 75.7608623",Punjab,8,7,58,30,25,184,100,70,4.9,0.8,4.2,48.2,17.5,11.4,16.2,24,36,1800,348,90,0,0,0,0,0,10,10,31.2460157,75.7608623
479,PB-800258-002,"31.364406, 76.373309",Punjab,5,2,25,6,18,84,20,54,3.4,0.1,2.8,30.4,12.7,33.19,6.4,1,2,1800,58,2,0,10,0,0,10,10,30,31.364406,76.373309
480,PB-800258-001,"31.3705519, 76.3660916",Punjab,8,7,29,12,36,107,40,108,4.3,0.7,2.82,36.8,21.2,9.97,11.8,22,28,1800,94,1.8,0,0,0,10,0,10,20,31.3705519,76.3660916
481,PB-800230-001,"29.9996133, 75.0686667",Punjab,3,2.9,15,60,20,75,200,64.8,0.05,1.1,2.8,1,17.8,31.06,5,36,46,1.8,542,20,0,0,0,0,0,10,10,29.9996133,75.0686667
482,CG-801975-002,"22.0707505, 82.2228426",Chhattisgarh,17,17,18,26,18,97.9,58,60,6.4,2.9,1.2,11.6,9.7,9.62,9,55,24,350,140,35,0,0,0,10,0,10,20,22.0707505,82.2228426
483,CG-801975-001,"22.05648, 82.21722",Chhattisgarh,54,0,26,17,12,57,39,40,1,0.7,0.88,13,10,8.66,16,92,16,70,79,25,0,10,10,10,10,10,50,22.05648,82.21722
484,TS-802914-001,"18.0981907, 78.8598341",Telangana,11,10.95,45,18,5,108,68,20,1.13,0.7,1.1,56,26,12.8,21,15,1.9,280,94,2,10,10,10,0,10,10,50,18.0981907,78.8598341
485,JK-800013-029,"34.1347777, 74.8408251",Jammu And Kashmir,7.5,3,3,3.8,7.3,15,22,20,0.05,0.05,0.18,1,1.7,1.6,5,5,10,9400,350,20,10,10,10,10,10,10,60,34.1347777,74.8408251
486,HP-800137-002,"31.0815, 77.1911",Himachal Pradesh,8.42,3.9,5,3.8,8.5,20,23,38,0.05,0.05,0.75,1,1.68,1.5,1,5,12,5400,240,13,10,10,10,10,10,10,60,31.0815,77.1911
487,HP-800137-003,"31.1184525, 77.1451009",Himachal Pradesh,5.8,4.4,8,4.2,5.5,40,24,22,0.05,0.05,0.28,1,1.9,1,5,5,8,35000,28000,18,10,10,10,10,10,10,60,31.1184525,77.1451009
488,JK-800013-030,"34.1460462, 74.8431704",Jammu And Kashmir,3.2,1.1,6,3.2,3.9,30,19,10,0.05,0.05,0.4,0.1,1.4,1.9,5,5,1,2800,920,15,10,10,10,10,10,10,60,34.1460462,74.8431704
489,HP-800137-001,"31.0671109, 77.1583537",Himachal Pradesh,25.2,13,7,3.6,7.5,34,20,20,0.05,0.05,0.05,1,1.1,1,5,5,10,1.8,1.8,7,10,10,10,10,10,10,60,31.0671109,77.1583537
490,KA-803041-001,"16.5191964, 75.2736088",Karnataka,7.6,7.6,51,4.8,19.1,136,20.14,40.3,2,1.89,0.9,44,6.29,2.5,22,8,10,80,17,50,0,10,10,10,10,10,50,16.5191964,75.2736088
491,KA-803197-002,"12.1337683, 76.6759733",Karnataka,0.3,0.3,9,11.8,6.6,28,47.9,29.32,1,1,0.5,1,12.53,0.5,10,19,9,220,2,17,10,10,10,10,10,10,60,12.1337683,76.6759733
492,KA-803198-003,"12.3332916, 76.8567917",Karnataka,0.65,0,1,2,2,2,5,6.8,1,1,0.5,1,2.97,1.95,5,5,16,110,2,22,10,10,10,10,10,10,60,12.3332916,76.8567917
493,KA-803089-001,"15.2499132, 74.6362004",Karnataka,8,0,8,2,2.09,24,8.06,8.13,1,2.57,0.36,3,5.47,0.5,19,24,25,9,13,43,10,10,10,10,0,10,50,15.2499132,74.6362004
494,KA-803165-001,"12.823178, 76.784354",Karnataka,3,2.5,6,2,9.6,20,5,40.16,1,1,3.41,3,2.77,3.5,6,5,15,4,2,49,10,10,0,10,10,10,50,12.823178,76.784354
495,KA-803172-002,"13.1661799, 75.872619",Karnataka,5,2,2,2,11.5,4,7.98,44.04,1,1.88,1,31,4.79,8.4,10,5,10,90,2,2,0,10,10,10,10,10,50,13.1661799,75.872619
496,KA-803138-003,"13.816418, 75.692747",Karnataka,1,0.3,7,6.6,6.8,24,27.94,32.12,1,1.47,0.52,63,5.02,3.8,11,198,10,170,2,2,10,10,10,10,10,10,60,13.816418,75.692747
497,KA-803099-001,"14.0175, 74.5355",Karnataka,2.75,2.75,5,7.4,6.88,32,28.2,24,0.05,1.48,0.42,0.1,13.51,3.17,5,31,10,110,14,39,10,10,10,10,10,10,60,14.0175,74.5355
498,KA-803089-002,"15.263676, 74.623254",Karnataka,0.5,0,9,5.8,7.27,28,24.17,24,1,1.07,0.18,2,6.95,0.5,10,18,18,7,10,48,10,10,10,10,10,10,60,15.263676,74.623254
499,KA-803030-001,"16.1609823, 74.8750033",Karnataka,8.7,0,25,2,2.91,72,5,8,1,1,0.34,3,2.86,1.6,23,5,10,4,2,31,10,10,10,10,10,10,60,16.1609823,74.8750033
500,KA-803149-001,"13.3015268, 75.7843365",Karnataka,20,20,8.2,18,7.2,39,68.48,36.83,0.1,4.6,1.41,7.3,11.48,11.8,2,15,17,50,2,5,10,10,0,0,10,10,40,13.3015268,75.7843365
501,KA-803197-001,"12.0956686, 76.720124",Karnataka,8,4,96,2,6.2,252,5,33.5,1,1,0.5,17,4.28,7.6,325,5,11,170,2,14,10,10,10,10,10,10,60,12.0956686,76.720124
502,KA-803191-003,"12.343332, 76.123082",Karnataka,4.2,0,2,17.5,4.6,4,67.86,20,1,1.21,0.98,1,14.45,1,14,17,11,170,2,14,10,10,10,10,10,10,60,12.343332,76.123082
503,KA-803107-002,"14.6462180, 75.6298380",Karnataka,7.5,7.5,10,15,8.4,32,59.88,46.07,2,2.09,1.91,30,13.06,13.4,15,13,21,110,2,12,10,10,0,0,10,10,40,14.646218,75.629838
504,KA-803198-002,"12.3519317, 76.8820567",Karnataka,3.8,2.48,4,2,2.3,12.48,5,12,1,1,0.74,16.98,2.41,2.03,5,5,13,35,2,11,10,10,10,10,10,10,60,12.3519317,76.8820567
505,UK-800336-002,"29.3826951, 79.1310394",Uttarakhand,1.5,0.9,4,2.8,3.5,20,16,10,0.05,0.05,1.3,1,1.36,6.8,5,5,8,790,1.8,30,10,10,0,10,10,10,50,29.3826951,79.1310394
506,KA-803162-005,"12.9422355, 77.6549049",Karnataka,30,30,6,3.2,3.1,50,18,12.56,0.05,0.16,1.11,1,6.2,3,5,1,5,1.8,2,2,10,10,0,10,10,10,50,12.9422355,77.6549049
507,KA-803162-038,"12.9963259, 77.7766951",Karnataka,6,6,2,2.2,4.9,5,8,20.02,1,0.19,0.5,30.66,6.7,1,5,4,5,1,2,2,10,10,10,10,10,10,60,12.9963259,77.7766951
508,KA-803162-011,"12.8984, 77.4746786",Karnataka,20,20,4,5.2,2,12.48,24,4.19,6.394,1.5,3.54,22.64,3.1,8.21,5,2,5,1,2,6,10,10,0,10,10,10,50,12.8984,77.4746786
509,KA-803162-031,"13.0214831, 77.7210642",Karnataka,15,15,4,4.4,3.9,12.48,20,20.94,1,0.6,0.92,82.05,20.6,1.72,5,5,5,1,2,2,10,10,10,10,10,10,60,13.0214831,77.7210642
510,KA-803162-007,"12.9370388, 77.5233147",Karnataka,150,150,2,2.8,5.8,5,14,20.94,1,0.1,0.83,16.98,6.6,1,10,3,5,1,2,2,10,10,10,10,10,10,60,12.9370388,77.5233147
511,KA-803162-010,"12.9862032, 77.6223278",Karnataka,2,2,5,3.6,2,40,20,8.02,0.05,0.99,0.56,1,13.2,4.7,5,4,10,1.8,2,2,10,10,10,10,10,10,60,12.9862032,77.6223278
512,KA-803162-036,"12.916962, 77.640964",Karnataka,35,35,2,4.2,7.8,5,20,32.03,1,0.1,0.66,47.39,5.3,1.9,5,2,9,5,2,4,10,10,10,10,10,10,60,12.916962,77.640964
513,KA-803162-009,"13.0154601, 77.6916775",Karnataka,20,20,8,3.2,7,50,18,28.03,0.05,0.65,0.5,1,8.9,5.4,5,3,7,1.8,2,2,10,10,10,10,10,10,60,13.0154601,77.6916775
514,KA-803162-014,"12.8969668, 77.4760854",Karnataka,40,40,2.6,7.6,3,14,28,12.56,2.6,2.9,2.49,16.6,8.6,16.72,2,3,5,2,2,8,10,10,0,0,10,10,40,12.8969668,77.4760854
515,UP-800733-001,"28.7393291, 77.2736317",Uttar Pradesh,30,30,9,5.6,21,47,32,70,0.05,0.05,0.45,0.1,2.4,6.4,5,5,16,54000,1.8,45,0,0,10,10,10,10,40,28.7393291,77.2736317
516,UP-801235-008,"25.3462208, 83.0471682",Uttar Pradesh,80,80,6,3.4,3.9,27,19,10,0.05,0.05,0.22,0.1,1.68,8.9,5,5,5,1.8,1.8,25,10,10,10,10,10,10,60,25.3462208,83.0471682
517,KA-803162-037,"12.8653826, 77.6036601",Karnataka,10,10,2,6.8,8.2,5,26,36.04,1,0.76,0.5,36.24,10,2.3,5,6,8,1,14,5,10,10,10,10,10,10,60,12.8653826,77.6036601
518,KA-803162-028,"12.9391019, 77.7167774",Karnataka,90,90,3,8.2,2,8.32,36,8.38,1,0.46,0.5,48.1,13.6,5.55,5,7,5,17,33,2,10,10,10,10,10,10,60,12.9391019,77.7167774
519,MH-802776-008,"19.9837208, 73.8288571",Maharashtra,70,66.13,11,30,14,30.2,98.1,49.02,1,1.6,4,3.7,6.8,25.29,8,12,60,34800,1600,2,0,10,0,0,0,10,20,19.9837208,73.8288571
520,MH-802776-009,"19.9855614, 73.8292247",Maharashtra,40,32.85,9,30,6,28.6,93.9,19.61,1.1,1.4,0.93,2.3,6.1,6.9,2,14,57,230,1600,2,10,10,10,10,0,10,50,19.9855614,73.8292247
521,KA-803207-002,"17.373342, 76.872926",Karnataka,25,0,118,2,77.3,244,12.1,210.4,3.2,1.7,0.4,40,59,4,183,4.6,10,210,110,45,0,0,10,10,10,10,40,17.373342,76.872926
522,KA-803207-001,"17.2733834, 76.8080799",Karnataka,60,0,85,28,83.1,184,113,238.8,3.3,5.3,0.46,45,97,4.37,74,40,10,430,280,47,0,0,10,10,10,10,40,17.2733834,76.8080799
523,TS-802914-002,"18.1238485, 78.8720572",Telangana,7.25,6.75,42,26,10,104,124,40,1.17,0.4,2.1,48,52,15.6,23,45,9.75,240,110,2,10,10,0,0,10,10,40,18.1238485,78.8720572
524,UK-800313-001,"30.0580541, 78.2617716",Uttarakhand,26,16,5,35,11,26,104,30,0.05,0.4,0.2,1,1.8,1.8,5,4,3,540,20,15,10,10,10,10,10,10,60,30.0580541,78.2617716
525,PB-800173-001,"31.7369507, 75.747506",Punjab,2,0.5,22,58,60,77,193.6,183.6,3.2,1.2,1.6,48.2,22.8,26.4,5.9,38,54,1600,542,4,0,0,0,0,0,10,10,31.7369507,75.747506
526,PB-800175-002,"31.6348604, 75.8321511",Punjab,2,0.1,21,40,26,77,140.8,86.4,7.8,0.9,2.6,29.7,19.8,24.4,11.4,18,64,2000,253,12,0,0,0,0,0,10,10,31.6348604,75.8321511
527,PB-800209-001,"30.8554742, 74.9106581",Punjab,4,0,74,58,1,320,193.6,1,4.7,1.2,0.05,17.4,26.4,1,12.8,10,5,920,48,5,10,10,10,10,10,10,60,30.8554742,74.9106581
528,PB-800168-001,"31.4128568, 75.697741",Punjab,3,2.45,22,42,48,68,140.8,142.8,5.9,0.8,4.2,27,21.2,28.8,22.1,42,18,2000,177,4,0,0,0,0,10,10,20,31.4128568,75.697741
529,PB-800226-001,"30.1836605, 74.9527909",Punjab,52,48,16,63,40,80,211.2,129.6,0.05,1.5,3,0.1,27.2,20.6,5,8,56,35000,542,2,0,0,0,0,0,10,10,30.1836605,74.9527909
530,PB-800221-001,"30.456516, 74.885874",Punjab,6,4,35,68,26,107.3,228.8,96,4,0.9,1.2,35.4,22.4,28.03,20.3,22,10,1700,48,10,0,0,0,0,10,10,20,30.456516,74.885874
531,RJ-800540-001,"27.0399299, 74.7030684",Rajasthan,6,5.1,18.17,5,14,60.48,40,40,8.12,0.57,0.4,60.35,1,2.2,6.15,5,14,325,94,40,0,10,10,10,10,10,50,27.0399299,74.7030684
532,RJ-800534-001,"27.3856317, 74.5509283",Rajasthan,5,3.5,16.72,5,28,96.8,40,100,4.8,0.85,0.8,15.02,0.1,5.1,8,9,15,167,70,70,0,0,10,10,10,10,40,27.3856317,74.5509283
533,RJ-800460-001,"27.9713561, 73.3459248",Rajasthan,40,16,3,6,13,15,50,30,0.05,0.85,0.2,0.1,2,2.1,5,6,3,13,140,15,0,10,10,10,10,10,50,27.9713561,73.3459248
534,RJ-800508-004,"26.5049981, 76.7328305",Rajasthan,1.5,0.92,13.2,18,14.4,69.2,160,40.3,2.7,4.9,0.08,51.7,3,0.98,8.34,16,5,143,13,7,0,10,10,10,10,10,50,26.5049981,76.7328305
535,RJ-800508-002,"26.4848148, 76.7144999",Rajasthan,1.5,1.1,17.12,2,26.4,58.2,20,96.7,3.9,0.57,0.04,48.2,0.1,0.9,7,4,17,202,41,9,0,0,10,10,10,10,40,26.4848148,76.7144999
536,RJ-800508-001,"26.4742528, 76.6971768",Rajasthan,5.5,4.9,13.3,80,48.7,60.9,120,184,3.89,2,1.2,54.4,3,2.72,8.21,8,34.4,47,63,9,0,0,0,10,0,10,20,26.4742528,76.6971768
537,RJ-800508-003,"26.4768146, 76.7203438",Rajasthan,2.5,1.76,15.12,96,70.4,62.5,260,236,4.6,5.8,0.1,58.2,3.6,3.72,7.5,90,40.2,119,9.3,12,0,0,10,10,0,10,30,26.4768146,76.7203438
538,TS-900066-004,"17.8442568, 78.6723164",Telangana,0.5,0.48,58,26,10,140,122,50,0.82,0.8,3.97,54,38,14.6,68,12,3.1,272,94,2,10,10,0,0,10,10,40,17.8442568,78.6723164
539,TS-900066-003,"17.8371878, 78.7173461",Telangana,1.25,1.14,63,26,15,148,136,50,1.25,0.6,5.17,56,32,13.5,76,15,3.5,210,110,2,0,10,0,0,10,10,30,17.8371878,78.7173461
540,TS-900066-001,"17.8748183, 78.69307",Telangana,3.5,3.2,40,24,5,96,92,30,0.9,0.7,6.4,62,52,12.6,20,15,2.9,220,84,2,10,10,0,0,10,10,40,17.8748183,78.69307
541,KA-803214-001,"17.02702703, 76.78935143",Karnataka,5.83,0,1,2,5,2,8.1,20,1,0.79,1.3,2,2.1,8.8,10,1,10.7,90,170,2,10,10,0,10,10,10,50,17.02702703,76.78935143
542,JK-800013-028,"34.1144056, 74.8268379",Jammu And Kashmir,5.4,5.4,9,4,18,47,23,50,0.05,0.05,1.4,0.1,2.3,5.3,5,5,6,3500,700,25,0,10,0,10,10,10,40,34.1144056,74.8268379
543,HP-800106-003,"31.5449247, 76.8951899",Himachal Pradesh,4.5,4.5,4,4.8,1,18,28,5.5,0.05,0.05,0.32,1,2.28,1,5,5,5,1.8,1700,4,10,10,10,10,10,10,60,31.5449247,76.8951899
544,UK-800291-002,"30.5653068, 79.5528645",Uttarakhand,2.7,2.3,5,2,6.8,20,8,20,0.05,0.05,0.2,1,0.1,1.8,5,5,2,1.8,1.8,20,10,10,10,10,10,10,60,30.5653068,79.5528645
545,UK-800295-005,"30.2608919, 79.217611",Uttarakhand,0.1,0.04,4,2.6,7.2,16,15,20,0.05,0.05,0.3,0.1,0.8,1.8,5.6,5,14,54000,1700,25,10,10,10,10,10,10,60,30.2608919,79.217611
546,PB-800154-001,"31.6045328, 75.5267271",Punjab,2.5,2.1,460,36,3.7,172,123.2,10,18.2,0.6,0.9,208.2,17.8,4.2,63.6,9,2,1700,212,20,10,10,10,10,10,10,60,31.6045328,75.5267271
547,PB-800203-001,"30.9484813, 75.2275226",Punjab,4,4,16,54,2,53.6,180,8.2,3.7,0.6,0.16,15.1,21.2,1,11.5,9,5,2100,120,4,10,10,10,10,10,10,60,30.9484813,75.2275226
548,PB-800237-001,"30.1415142, 76.1922359",Punjab,10,0,12,24,1,23,80,6,2.5,1.2,0.05,20.8,21.4,1,23.6,4,5,920,177,20,10,10,10,10,10,10,60,30.1415142,76.1922359
549,PB-800223-002,"30.2587284, 75.2451729",Punjab,7.5,6.9,18,72,68,90,240,216,0.05,1.7,3.2,1,24.2,20.11,5,58,28,540,542,20,0,0,0,0,0,10,10,30.2587284,75.2451729
550,RJ-800462-001,"27.5390325, 73.4678483",Rajasthan,1,1,14.04,3,74.4,53.41,40,210,2.2,0.85,1.2,29.25,1.9,19.6,13.29,2,58,298.06,17,110,0,0,0,0,0,10,10,27.5390325,73.4678483
551,RJ-800578-001,"26.1669531, 75.8562806",Rajasthan,4,2.5,18.14,5,12,54.56,50,30,14.49,0.95,0.1,58.55,2,1.8,7.22,7.9,2,244,32,10,0,10,10,10,10,10,50,26.1669531,75.8562806
552,RJ-800473-003,"27.7026457, 74.4370919",Rajasthan,2,0.1,18.12,4,1.5,59.3,40,8,4.1,0.1,0.05,60.2,0.1,1,7.8,5,5,360,33,6,10,10,10,10,10,10,60,27.7026457,74.4370919
553,RJ-800578-002,"26.176167, 75.7454039",Rajasthan,16,10,18.56,4,15,54.15,40,40,14.18,0.65,0.2,58.14,1.9,2.4,7.08,9,4,318,17,15,0,10,10,10,10,10,50,26.176167,75.7454039
554,RJ-800460-002,"28.04767, 73.26574",Rajasthan,12,10,3,2,14,14,40,40,0.05,0.52,0.2,1,0.1,2.1,5,6,3,5400,9.3,15,0,10,10,10,10,10,50,28.04767,73.26574
555,RJ-800473-001,"27.6878717, 74.4899233",Rajasthan,5.5,1.5,18.25,2,1,56.22,20,4,10.13,0.1,0.05,60.74,0.1,1,5.98,2,5,233,93,4,10,10,10,10,10,10,60,27.6878717,74.4899233
556,RJ-800473-004,"27.7051484, 74.486652",Rajasthan,1.5,0.78,15.19,2,1.5,62.4,20,6,4.8,0.1,0.05,58.25,0.1,1,6.45,2,5,287,20,5,10,10,10,10,10,10,60,27.7051484,74.486652
557,RJ-800473-002,"27.7058235, 74.4838844",Rajasthan,1.5,0.7,14.12,2,1,60.3,20,4,4.22,0.1,0.05,59.2,0.1,1,5.8,3,5,403,120,3,10,10,10,10,10,10,60,27.7058235,74.4838844
558,TS-802918-034,"17.4365984, 78.3920224",Telangana,7,7,70,16,6,168,115,24,1.1,0.5,0.6,36,27,12,23,16,3,240,84,59,10,10,10,0,10,10,50,17.4365984,78.3920224
559,TS-802918-009,"17.43651, 78.3920538",Telangana,5,5,62,24,19,140,88,60,1.44,0.2,0.6,42,26,36,9,18,6,220,110,112,0,0,10,0,10,10,30,17.43651,78.3920538
560,TS-802918-033,"17.4964996, 78.3484896",Telangana,7,7,44,28,17,100,132,52,1.07,0.8,0.8,52,32,28,18,15,7,220,110,120,0,10,10,0,10,10,40,17.4964996,78.3484896
561,TS-802918-016,"17.4279483, 78.3735733",Telangana,7,7,74,12,24,176,46,80,1.86,0.6,0.8,62,34,28,76,12,14,439,94,98,0,0,10,0,10,10,30,17.4279483,78.3735733
562,JK-800028-001,"34.0093459, 75.3174592",Jammu And Kashmir,2,1.5,5,2.8,6.8,27,12,20,0.05,0.05,0.1,0.1,0.1,2.1,5,5,1,9400,240,20,10,10,10,10,10,10,60,34.0093459,75.3174592
563,TS-802918-006,"17.4237795, 78.5549407",Telangana,10,10,50,20,18,112,112,52,1.63,0.6,0.6,36,32,21,60,20,9,240,210,92,0,10,10,0,10,10,40,17.4237795,78.5549407
564,JK-800013-031,"34.0979233, 74.8751196",Jammu And Kashmir,4.5,4.5,3,3,16,16,17,50,0.05,0.05,1.1,1,1.82,3.1,5,5,1,1600,5400,20,0,10,10,10,10,10,50,34.0979233,74.8751196
